	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000056763.16	2587.17242775915	0.191497202964428	0.0896752054372349	2.13545318386206	0.032724010403329	0.113993716172138
ENSMUSG00000102356.1	17.591626675781	-0.379635791180425	0.82467661707523	-0.460345041098447	0.645268576358553	0.816392082974604
ENSMUSG00000067851.11	19962.4441372588	0.064598760261232	0.10493155653669	0.615627580428056	0.53814034394183	0.742677819210077
ENSMUSG00000088153.1	34.6854672727205	0.277489846993259	0.556124853980053	0.498970411063866	0.617800229090351	0.797659320060027
ENSMUSG00000102556.1	144.075820768132	1.26512661611927	0.440906994691918	2.86937297740826	0.00411286491903592	0.0221084402572915
ENSMUSG00000042501.12	57.0172423367291	0.637797771299353	0.448659784162773	1.42156215870679	0.155153396739557	0.344748082196348
ENSMUSG00000103810.1	0.931913442414915	-4.05762885271426	3.83804023701693	-1.05721373465016	0.290414052902148	NA
ENSMUSG00000083422.1	0.97318911071194	-0.572161496539819	2.80746816948929	-0.203799816061281	0.838509936586638	NA
ENSMUSG00000094979.1	0	NA	NA	NA	NA	NA
ENSMUSG00000081417.1	0	NA	NA	NA	NA	NA
ENSMUSG00000103448.1	0.261479890350922	-1.64280432720027	4.37295725497331	-0.375673538846493	0.70715961224528	NA
ENSMUSG00000100212.1	0	NA	NA	NA	NA	NA
ENSMUSG00000100648.1	0.189808344645591	1.86055079253373	4.37803965621035	0.424973490108638	0.670856000128938	NA
ENSMUSG00000088585.1	0	NA	NA	NA	NA	NA
ENSMUSG00000048960.13	18107.009376346	0.0401388287567081	0.114311003011989	0.35113705329397	0.725485531065675	0.866286188700924
ENSMUSG00000077318.1	9.09301391933858	-0.0554716039544297	1.08997662022016	-0.0508924713845928	0.959411204702171	NA
ENSMUSG00000101827.1	16.4878417066398	1.68610915485301	0.65805538207926	2.56226026071757	0.0103993356438656	0.0466951473898974
ENSMUSG00000103494.1	0	NA	NA	NA	NA	NA
ENSMUSG00000057715.13	12065.6329948937	-0.108662123682518	0.120274513426055	-0.903450952219597	0.366286608357796	0.595888660166337
ENSMUSG00000103825.1	158.761425885233	-0.0807036329158378	0.252990948486378	-0.318998104077163	0.749727950466961	0.880057585759865
ENSMUSG00000099845.1	22.3620779994526	-1.49851756468606	0.60021885096235	-2.49661862882753	0.0125383722510626	0.054379183371397
ENSMUSG00000103561.1	39.6741719062408	-0.522404754736087	0.496153072761834	-1.05291044924528	0.29238203657906	0.521470967551844
ENSMUSG00000101610.1	2.11399292472073	-0.567934664874087	2.47292891014066	-0.229660732480087	0.818355410256045	NA
ENSMUSG00000093864.1	0	NA	NA	NA	NA	NA
ENSMUSG00000098555.1	0	NA	NA	NA	NA	NA
ENSMUSG00000097628.1	1.62278864676854	2.26111885306295	2.39808725524232	0.942884312537024	0.345740079805302	NA
ENSMUSG00000098163.1	0.970408912408493	0	4.40735632392822	0	1	NA
ENSMUSG00000097171.1	1.09284765918941	-0.179202576548521	2.97075547038004	-0.0603222238704137	0.951899002084869	NA
ENSMUSG00000101314.1	0	NA	NA	NA	NA	NA
ENSMUSG00000016918.15	513.020779925658	-0.193056893618463	0.778353551886513	-0.24803239241415	NA	NA
ENSMUSG00000025938.16	711.754595003842	0.33811214287453	0.129234158231983	2.6162753524312	0.00888948384632376	0.0411376114103217
ENSMUSG00000104518.1	0	NA	NA	NA	NA	NA
ENSMUSG00000069620.6	0	NA	NA	NA	NA	NA
ENSMUSG00000099498.1	0	NA	NA	NA	NA	NA
ENSMUSG00000042414.7	1.88042550040087	3.80793540319041	2.70819929448656	1.40607650660819	0.15970140776161	NA
ENSMUSG00000005886.14	11839.7044138269	-0.161251782305223	0.0810260655567414	-1.99012232912014	0.0465774616331982	0.147816670474912
ENSMUSG00000103506.1	59.929989396658	0.796981836574427	0.380646213131046	2.09376005613919	0.0362813600565885	0.122983945569463
ENSMUSG00000103495.1	62.337251429496	1.04947743791146	0.38308402545391	2.73954894534679	0.00615235533893646	0.0306945840626031
ENSMUSG00000099183.1	13.132653894134	-0.411247671700479	1.00871601777957	-0.407694201789059	0.683498194827597	0.840285488622629
ENSMUSG00000102639.1	30.386624131666	1.37838888245899	0.518919776549282	2.65626585216122	0.00790112987065411	0.0375710825904886
ENSMUSG00000104170.1	102.224577946913	1.38555304731361	0.343132410915424	4.03795445500811	5.39193181309522e-05	0.00055479135003936
ENSMUSG00000087782.1	8.03021417566743	0.868084856938942	1.13425548576908	0.765334501644786	0.444072384333976	NA
ENSMUSG00000103085.1	392.473893951821	0.717861054459882	0.151460056404421	4.73960641175971	2.14133756184854e-06	3.12761990394494e-05
ENSMUSG00000102664.1	160.088752218595	1.16747759237957	0.285485443838703	4.08944700185549	4.32402849765969e-05	0.000458087207880823
ENSMUSG00000101476.1	4.16081472322076	0.125494979624616	1.38346256910071	0.090710787864822	0.927722398498079	NA
ENSMUSG00000101171.1	0.762428226037631	1.47775493126256	3.37724457206983	0.437562308481818	0.661703599020984	NA
ENSMUSG00000025935.10	3443.00543379763	-0.296781691645621	0.106441696370846	-2.78820896100364	0.00530003454305381	0.0271916631443229
ENSMUSG00000025937.6	882.344100704411	-0.31145428014156	0.194039353514966	-1.60510883230467	0.108469855900588	0.27050714522775
ENSMUSG00000102982.1	31.00897434147	0.105198087119569	0.681735032533054	0.154309346152705	0.877365828416307	0.946454562477667
ENSMUSG00000067813.3	0.377230295349298	-1.47748627872266	4.38189000684957	-0.337180138345125	0.735981108832928	NA
ENSMUSG00000077368.1	0	NA	NA	NA	NA	NA
ENSMUSG00000097711.1	1.87045078978177	-0.203715788559171	1.67733027958325	-0.121452400304719	0.903332714579012	NA
ENSMUSG00000102166.1	0	NA	NA	NA	NA	NA
ENSMUSG00000089358.1	0.0631467037772828	-0.804736802510435	4.40735632396697	-0.182589458023695	0.855120156565554	NA
ENSMUSG00000104209.1	0.933932412444329	0.0897661167088809	3.95451435589113	0.0226996562991747	0.981889849999479	NA
ENSMUSG00000025932.14	1728.30767130565	0.0643853712058271	0.124430441164342	0.517440672904067	0.604848573326248	0.78953369561
ENSMUSG00000095853.1	3.39235409318965	0.37457395428723	1.72624038955131	0.216988292334296	0.828217468947778	NA
ENSMUSG00000102588.1	8.60374536110409	3.05842475558175	1.28868060940859	2.37329927466305	0.0176299726242196	NA
ENSMUSG00000054493.2	74.4523930527883	-0.484833937413938	0.313777920680206	-1.54514994669771	0.122309998109384	0.29342987591914
ENSMUSG00000025930.6	44.918421103936	-0.737035480953065	0.471722182775633	-1.56243549246787	0.118185431318071	0.286626958798907
ENSMUSG00000103492.1	37.3953619826713	-0.566725322212899	0.430694554411656	-1.31584046375294	0.188227594863383	0.392482678797748
ENSMUSG00000081201.1	1.57476262023052	2.01034090198832	2.03706807793743	0.986879586284535	0.323701672802482	NA
ENSMUSG00000082193.1	13.2387867226781	-0.410798388903828	0.859920626889887	-0.477716635766234	0.632851902220725	0.808305720501727
ENSMUSG00000032769.5	140.735714628599	0.219563437724645	0.313999619602314	0.699247464066123	0.484397392817055	0.701615950241781
ENSMUSG00000088159.1	0	NA	NA	NA	NA	NA
ENSMUSG00000073737.3	7.68094012814157	0.621264264948455	0.962824968496707	0.64525151016644	0.518764210445049	NA
ENSMUSG00000092083.4	4804.07594401044	-0.207318620289028	0.12292312616526	-1.68657132922495	0.0916858087909308	0.240646085843449
ENSMUSG00000102937.1	84.1817914780675	0.693947355686204	0.569549841981494	1.21841374456698	0.223066784601497	0.438256590471822
ENSMUSG00000104149.1	54.9498197477122	1.09835941656647	0.36337364666489	3.02267219058788	0.00250553493659711	0.0146729832443566
ENSMUSG00000088829.1	3.80066888291757	0.533727256642918	1.90505126249075	0.280164249199835	0.779351493733531	NA
ENSMUSG00000077377.1	0	NA	NA	NA	NA	NA
ENSMUSG00000101652.1	0.330407586199216	-2.39669093492829	4.3234905588228	-0.554341660359924	0.579345044078263	NA
ENSMUSG00000100814.1	0.326045990316522	3.13055195407218	4.3042172638459	0.727322010523922	0.467028717708406	NA
ENSMUSG00000025925.14	590.950930765463	0.0753032638267339	0.15116150596853	0.49816428689465	0.618368251977972	0.797940401057256
ENSMUSG00000104379.1	58.2203461966779	-1.06006158590431	0.441301451449462	-2.40212576329064	0.0163001034423998	0.066614528704006
ENSMUSG00000032719.4	22.7396796872576	-0.510416975286356	0.559017786800323	-0.91306034859437	0.361210802919846	0.590919890056978
ENSMUSG00000088943.1	0	NA	NA	NA	NA	NA
ENSMUSG00000100652.1	0.206016036082627	0	4.40735632395461	0	1	NA
ENSMUSG00000067795.13	51.7343585793297	0.0483281699547472	0.435898406975033	0.110870260550219	0.911719228820405	0.962095168742919
ENSMUSG00000043716.13	13883.5211659699	0.0270118254687616	0.0934212238000477	0.289140137219523	0.772474139629669	0.892685434250912
ENSMUSG00000025921.7	980.607932864906	0.0265463552965512	0.103971808893578	0.255322626191136	0.798473925755025	0.905037275577306
ENSMUSG00000104165.1	6.21768442456285	0.710531643395669	1.18538242918486	0.599411317311555	0.548898631882665	NA
